Accession	Name	Source Database	Type	Integrated Into	Integrated Signatures	GO Terms
PF10983	Protein of unknown function (DUF2793)	pfam	family	IPR021251		
PF10984	Protein of unknown function (DUF2794)	pfam	family	IPR021252		
PF10985	Protein of unknown function (DUF2805)	pfam	family	IPR019882		
PF10986	Protein of unknown function (DUF2796)	pfam	family	IPR021253		
PF10987	Protein of unknown function (DUF2806)	pfam	family	IPR021254		
PF10988	Putative auto-transporter adhesin, head GIN domain	pfam	repeat	IPR021255		
PF10989	Protein of unknown function (DUF2808)	pfam	family	IPR021256		
PF10990	Protein of unknown function (DUF2809)	pfam	family	IPR021257		
PF10991	Protein of unknown function (DUF2815)	pfam	family	IPR022595		
PF10992	Epiplasmin protein	pfam	family	IPR021258		
PF10993	Protein of unknown function (DUF2818)	pfam	family	IPR016768		
PF10994	Protein of unknown function (DUF2817)	pfam	family	IPR021259		
PF10995	Cellulose biosynthesis GIL	pfam	family	IPR017745		
PF10996	Beta-Casp domain	pfam	domain	IPR022712		
PF10997	Alternate to MurJ	pfam	family	IPR021260		
PF10998	Protein of unknown function (DUF2838)	pfam	family	IPR021261		
PF10999	Protein of unknown function (DUF2839)	pfam	family	IPR021262		
PF11000	Protein of unknown function (DUF2840)	pfam	family	IPR021263		
PF11001	Protein of unknown function (DUF2841)	pfam	family	IPR021264		
PF11002	RFPL defining motif (RDM)	pfam	domain	IPR022723		
PF11003	Protein of unknown function (DUF2842)	pfam	family	IPR021265		
PF11004	3-deoxy-D-manno-oct-2-ulosonic acid (Kdo) hydroxylase	pfam	family	IPR021266		
PF11005	Protein of unknown function (DUF2844)	pfam	family	IPR021267		
PF11006	Protein of unknown function (DUF2845)	pfam	family	IPR021268		
PF11007	Spore coat associated protein JA (CotJA)	pfam	family	IPR020256		
PF11008	Protein of unknown function (DUF2846)	pfam	family	IPR022548		
PF11009	Protein of unknown function (DUF2847)	pfam	family	IPR022551		
PF11010	Protein of unknown function (DUF2848)	pfam	family	IPR021269		
PF11011	Protein of unknown function (DUF2849)	pfam	family	IPR021270		
PF11012	Protein of unknown function (DUF2850)	pfam	family	IPR021271		
PF11013	Protein of unknown function (DUF2851)	pfam	family	IPR021272		
PF11014	Protein of unknown function (DUF2852)	pfam	family	IPR021273		
PF11015	Protein of unknown function (DUF2853)	pfam	family	IPR021274		
PF11016	Protein of unknown function (DUF2854)	pfam	family	IPR021275		
PF11017	Protein of unknown function (DUF2855)	pfam	family	IPR021276		
PF11018	Pupal cuticle protein C1	pfam	family	IPR022727		
PF11019	Protein of unknown function (DUF2608)	pfam	family	IPR022565		
PF11020	Domain of unknown function (DUF2610)	pfam	domain	IPR021277		
PF11021	Protein of unknown function (DUF2613)	pfam	family	IPR022566		
PF11022	ATP synthase subunit K	pfam	family	IPR021278		
PF11023	Zinc-ribbon containing domain	pfam	family	IPR020912		
PF11024	Dispersed gene family protein 1 of Trypanosoma cruzi region 4	pfam	domain	IPR021004		
PF11025	Glycoprotein GP40 of Cryptosporidium	pfam	domain	IPR021035		
PF11026	Protein of unknown function (DUF2721)	pfam	family	IPR021279		
PF11027	Protein of unknown function (DUF2615)	pfam	family	IPR020309		
PF11028	Protein of unknown function (DUF2723)	pfam	family	IPR021280		
PF11029	DAZ associated protein 2 (DAZAP2)	pfam	family	IPR022730		
PF11030	Nucleocapsid protein N	pfam	family	IPR020253		
PF11031	Bacteriophage T holin	pfam	family	IPR020982		
PF11032	ApoM domain	pfam	domain	IPR022734		
PF11033	Competence protein J (ComJ)	pfam	family	IPR020354		
PF11034	Glucose-repressible protein Grg1	pfam	family	IPR020100		
PF11035	Small nuclear RNA activating complex (SNAPc), subunit 2	pfam	family	IPR021281		
PF11036	Virulence promoting factor	pfam	family	IPR020196		
PF11037	Insulin-resistance promoting peptide in skeletal muscle	pfam	family	IPR021088		
PF11038	Dispersed gene family protein 1 of Trypanosoma cruzi region 5	pfam	domain	IPR021282		
PF11039	Protein of unknown function (DUF2824)	pfam	family	IPR022568		
PF11040	Dispersed gene family protein 1 of Trypanosoma cruzi C-terminus	pfam	domain	IPR021053		
PF11041	Protein of unknown function (DUF2612)	pfam	family	IPR021283		
PF11042	Protein of unknown function (DUF2750)	pfam	family	IPR021284		
PF11043	Bacteriophage P22, anti-RecBCD protein 2	pfam	family	IPR020500		
PF11044	Plectrovirus spv1-c74 ORF 12 transmembrane protein	pfam	family			
PF11045	Putative inner membrane protein of Enterobacteriaceae	pfam	family	IPR020368		
PF11046	Transcriptional repressor of hyc and hyp operons	pfam	family	IPR021285		
PF11047	Salmonella outer protein D	pfam	family	IPR022747		
PF11049	Glycoprotein K1 of Kaposi's sarcoma-associated herpes virus	pfam	domain	IPR021022		
PF11050	Virus envelope protein E26	pfam	family	IPR021286		
PF11051	Mannosyltransferase putative	pfam	family	IPR022751		
PF11052	Trans-sialidase of Trypanosoma hydrophobic C-terminal	pfam	conserved_site	IPR021287		
PF11053	Terminase DNA packaging enzyme	pfam	family	IPR020342		
PF11054	Sporozoite TA4 surface antigen	pfam	family	IPR021288		
PF11055	Glucose signalling factor 2	pfam	family	IPR022757		
PF11056	Recombination, repair and ssDNA binding protein UvsY	pfam	family	IPR021289		
PF11057	Cortexin of kidney	pfam	family	IPR020066		
PF11058	Antirestriction protein Ral	pfam	family	IPR022759		
PF11059	Protein of unknown function (DUF2860)	pfam	family	IPR016896		
PF11060	Protein of unknown function (DUF2861)	pfam	family	IPR021290		
PF11061	Protein of unknown function (DUF2862)	pfam	family	IPR021291		
PF11062	Protein of unknown function (DUF2863)	pfam	family	IPR021292		
PF11064	Protein of unknown function (DUF2865)	pfam	family	IPR021293		
PF11065	Protein of unknown function (DUF2866)	pfam	family	IPR021294		
PF11066	Protein of unknown function (DUF2867)	pfam	family	IPR021295		
PF11067	Protein of unknown function (DUF2868)	pfam	family	IPR021296		
PF11068	YlqD protein	pfam	family	IPR021297		
PF11069	Cilia- and flagella-associated protein 298	pfam	family	IPR021298		
PF11070	Protein of unknown function (DUF2871)	pfam	family	IPR021299		
PF11071	Nucleoside 2-deoxyribosyltransferase YtoQ	pfam	family	IPR019884		
PF11072	Protein of unknown function (DUF2859)	pfam	family	IPR021300		
PF11073	Rift valley fever virus non structural protein (NSs) like	pfam	family	IPR039434		
PF11074	Domain of unknown function(DUF2779)	pfam	domain	IPR021301		
PF11075	Protein of unknown function VcgC/VcgE (DUF2780)	pfam	family	IPR021302		
PF11076	Putative inner membrane protein YbhQ	pfam	family	IPR021303		
PF11077	Protein of unknown function (DUF2616)	pfam	family	IPR020201		
PF11078	Optomotor-blind protein N-terminal region	pfam	family	IPR021101		
PF11079	Bacterial protein YqhG of unknown function	pfam	family	IPR024562		
PF11080	Endoribonuclease GhoS	pfam	family	IPR022597		
PF11081	Adenovirus L4-33K/L4-22K	pfam	family	IPR021304		
PF11082	Protein of unknown function (DUF2880)	pfam	family	IPR021305		
PF11083	Lantibiotic streptin immunity protein	pfam	domain	IPR021112		
PF11084	Protein of unknown function (DUF2621)	pfam	family	IPR020203		
PF11085	Conserved membrane protein YqhR	pfam	family	IPR024563		
PF11086	Protein of unknown function (DUF2878)	pfam	family	IPR021306		
PF11087	PRD1 phage membrane DNA delivery	pfam	family	IPR020085		
PF11088	Glycoprotein encoding membrane proteins RL5A and RL6	pfam	family	IPR024349		
PF11089	Exopolysaccharide production repressor	pfam	family	IPR024239		
PF11090	Bacteriophage T7, probable scaffold protein Gp13	pfam	family	IPR020335		
PF11091	Tail-tube assembly protein	pfam	family	IPR024389		
PF11092	Neuronal protein 3.1 (p311)	pfam	family	IPR024417		
PF11093	Mitochondrial export protein Som1	pfam	family	IPR024645		
PF11094	Membrane-associated tegument protein	pfam	family	IPR024351		
PF11095	Gem-associated protein 7 (Gemin7)	pfam	family	IPR020338		
PF11097	Protein of unknown function (DUF2883)	pfam	family	IPR020112		
PF11098	Chlorosome envelope protein C	pfam	family	IPR020995		
PF11099	Apoptosis regulator M11L like	pfam	family	IPR021119		
PF11100	Conjugal transfer protein TrbE	pfam	family	IPR020150		
PF11101	Protein of unknown function (DUF2884)	pfam	family	IPR021307		
PF11102	Group 4 capsule polysaccharide lipoprotein gfcB, YjbF	pfam	family	IPR021308		
PF11103	Protein of unknown function (DUF2887)	pfam	domain	IPR022573		
PF11104	Type IV pilus assembly protein PilM;	pfam	family	IPR005883		
PF11105	Arthropod cardioacceleratory peptide 2a	pfam	family	IPR024276		
PF11106	Exopolysaccharide production protein YjbE	pfam	family	IPR025858		
PF11107	Fanconi anemia group F protein (FANCF)	pfam	repeat	IPR035428		
PF11108	Viral glycoprotein L	pfam	family	IPR020175		
PF11109	Orexigenic neuropeptide Qrfp/P518	pfam	family	IPR024565		
PF11110	Baseplate hub distal subunit	pfam	family	IPR024342		
PF11111	Centromere protein M (CENP-M)	pfam	family	IPR020987		
PF11112	Pyocin activator protein PrtN	pfam	family	IPR020518		
PF11113	Head assembly gene product	pfam	family	IPR021049		
PF11114	Minor capsid protein	pfam	family	IPR021080		
PF11115	Protein of unknown function (DUF2623)	pfam	family	IPR022574		
PF11116	Protein of unknown function (DUF2624)	pfam	family	IPR020277		
PF11117	Protein of unknown function (DUF2626)	pfam	family	IPR020254		
PF11118	Protein of unknown function (DUF2627)	pfam	family	IPR020138		
PF11119	Protein of unknown function (DUF2633)	pfam	family	IPR022576		
PF11120	Cellulose biosynthesis protein BcsF	pfam	family	IPR019995		
PF11121	Protein of unknown function (DUF2639)	pfam	family	IPR022580		
PF11122	Inner spore coat protein D	pfam	family	IPR020108		
PF11123	DNA packaging protein	pfam	family	IPR024345		
PF11124	Inorganic phosphate transporter chaperone Pho86	pfam	family	IPR024297		
PF11125	Bacteriophage MS2, lysis protein	pfam	family	IPR022599		
PF11126	Transcriptional regulator DsbA	pfam	family	IPR020313		
PF11127	Protein of unknown function (DUF2892)	pfam	family	IPR021309		
PF11128	Plant viral coat protein nucleocapsid	pfam	family	IPR021310		
PF11129	Rev protein of equine infectious anaemia virus	pfam	family	IPR021311		
PF11130	TraC protein	pfam	family	IPR025955		
PF11131	Rap-phr extracellular signalling	pfam	family	IPR025899		
PF11132	Transcriptional regulator protein (SplA)	pfam	family	IPR022608		
PF11133	Head fiber protein	pfam	family	IPR022741		
PF11134	Phage stabilisation protein	pfam	family	IPR021098		
PF11135	Protein of unknown function (DUF2888)	pfam	family	IPR022600		
PF11136	Protein of unknown function (DUF2889)	pfam	family	IPR021312		
PF11137	Protein of unknown function (DUF2909)	pfam	family	IPR021313		
PF11138	Protein of unknown function (DUF2911)	pfam	family	IPR021314		
PF11139	Sap, sulfolipid-1-addressing protein	pfam	family	IPR021315		
PF11140	Protein of unknown function (DUF2913)	pfam	family	IPR021316		
PF11141	Protein of unknown function (DUF2914)	pfam	family	IPR022606		
PF11142	Protein of unknown function (DUF2917)	pfam	family	IPR021317		
PF11143	Protein of unknown function (DUF2919)	pfam	family	IPR021318		
PF11144	Protein of unknown function (DUF2920)	pfam	family	IPR022605		
PF11145	Protein of unknown function (DUF2921)	pfam	family	IPR021319		
PF11146	Protein of unknown function (DUF2905)	pfam	family	IPR021320		
PF11148	Protein of unknown function (DUF2922)	pfam	family	IPR021321		
PF11149	Protein of unknown function (DUF2924)	pfam	family	IPR021322		
PF11150	Protein of unknown function (DUF2927)	pfam	family	IPR021323		
PF11151	Protein of unknown function (DUF2929)	pfam	family	IPR021324		
PF11152	Cofactor assembly of complex C subunit B, CCB2/CCB4	pfam	family	IPR021325		
PF11153	Protein of unknown function (DUF2931)	pfam	family	IPR021326		
PF11154	Protein of unknown function (DUF2934)	pfam	family	IPR021327		
PF11155	Domain of unknown function (DUF2935)	pfam	domain	IPR021328		
PF11157	Protein of unknown function (DUF2937)	pfam	family	IPR022584		
PF11158	Protein of unknown function (DUF2938)	pfam	family	IPR021329		
PF11159	Protein of unknown function (DUF2939)	pfam	family	IPR021330		
PF11160	Hypervirulence associated proteins TUDOR domain	pfam	domain	IPR021331		
PF11161	Protein of unknown function (DUF2946)	pfam	family	IPR021332		
PF11162	Protein of unknown function (DUF2946)	pfam	family	IPR021333		
PF11163	Protein of unknown function (DUF2947)	pfam	family	IPR021334		
PF11164	Protein of unknown function (DUF2948)	pfam	family	IPR021335		
PF11165	Protein of unknown function (DUF2949)	pfam	family	IPR021336		
PF11166	Protein of unknown function (DUF2951)	pfam	family	IPR021337		
PF11167	Protein of unknown function (DUF2953)	pfam	family	IPR021338		
PF11168	Protein of unknown function (DUF2955)	pfam	family	IPR022604		
PF11169	Protein of unknown function (DUF2956)	pfam	family	IPR021339		
PF11170	Protein of unknown function (DUF2957)	pfam	family	IPR021340		
PF11171	Protein of unknown function (DUF2958)	pfam	family	IPR021341		
PF11172	Protein of unknown function (DUF2959)	pfam	family	IPR021342		
PF11173	Protein of unknown function (DUF2960)	pfam	family	IPR021343		
PF11174	Protein of unknown function (DUF2970)	pfam	family	IPR021344		
PF11175	Protein of unknown function (DUF2961)	pfam	family	IPR021345		
PF11176	Translation machinery-associated protein 16	pfam	family	IPR021346		
PF11177	Protein of unknown function (DUF2964)	pfam	family	IPR021347		
PF11178	Protein of unknown function (DUF2963)	pfam	repeat	IPR021348		
PF11179	Protein of unknown function (DUF2967)	pfam	family	IPR021349		
PF11180	Protein of unknown function (DUF2968)	pfam	family	IPR021350		
PF11181	Heat induced stress protein YflT domain	pfam	domain	IPR025889		
PF11182	Alginate O-acetyl transferase AlgF	pfam	family	IPR035422		
PF11183	Polymyxin resistance protein PmrD	pfam	family	IPR044854		
PF11184	Protein of unknown function (DUF2969)	pfam	family	IPR021351		
PF11185	Protein of unknown function (DUF2971)	pfam	family	IPR021352		
PF11186	Protein of unknown function (DUF2972)	pfam	family	IPR021353		
PF11187	Mbeg1-like	pfam	family	IPR024499		
PF11188	Protein of unknown function (DUF2975)	pfam	family	IPR021354		
PF11189	Protein of unknown function (DUF2973)	pfam	family	IPR021355		
PF11190	Protein of unknown function (DUF2976)	pfam	family	IPR021356		
PF11191	Protein of unknown function (DUF2782)	pfam	family	IPR021357		
PF11192	Protein of unknown function (DUF2977)	pfam	family	IPR021358		
PF11193	Protein of unknown function (DUF2812)	pfam	family	IPR021359		
PF11195	Protein of unknown function (DUF2829)	pfam	family	IPR021361		
PF11196	Protein of unknown function DUF2834	pfam	family	IPR021362		
PF11197	Protein of unknown function (DUF2835)	pfam	family	IPR021363		
PF11198	Protein of unknown function (DUF2857)	pfam	family	IPR021364		
PF11199	Protein of unknown function (DUF2891)	pfam	family	IPR021365		
PF11200	Protein of unknown function (DUF2981)	pfam	family	IPR021366		
PF11201	Protein of unknown function (DUF2982)	pfam	family	IPR021367		
PF11202	Phosphoribosyl transferase (PRTase)	pfam	family	IPR011215		
PF11203	Putative type VII ESX secretion system translocon, EccE	pfam	family	IPR021368		
PF11204	Protein of unknown function (DUF2985)	pfam	family	IPR021369		
PF11205	Protein of unknown function (DUF2987)	pfam	family	IPR021370		
PF11207	Protein of unknown function (DUF2989)	pfam	family	IPR021372		
PF11208	Protein of unknown function (DUF2992)	pfam	family	IPR016787		
PF11209	LmeA-like phospholipid-binding	pfam	family	IPR021373		
PF11210	Protein of unknown function (DUF2996)	pfam	family	IPR021374		
PF11211	Protein of unknown function (DUF2997)	pfam	family	IPR021375		
PF11212	Protein of unknown function (DUF2999)	pfam	family	IPR021376		
PF11213	Protein of unknown function (DUF3006)	pfam	family	IPR021377		
PF11214	Mediator complex subunit 2	pfam	family	IPR021017		
PF11215	Protein of unknown function (DUF3010)	pfam	family	IPR021378		
PF11216	Protein of unknown function (DUF3012)	pfam	family	IPR021379		
PF11217	Protein of unknown function (DUF3013)	pfam	family	IPR021380		
PF11218	Protein of unknown function (DUF3011)	pfam	family	IPR021381		
PF11219	Protein of unknown function (DUF3014)	pfam	family	IPR021382		
PF11220	Protein of unknown function (DUF3015)	pfam	family	IPR021383		
PF11221	Subunit 21 of Mediator complex	pfam	family	IPR021384		
PF11222	Protein of unknown function (DUF3017)	pfam	family	IPR021385		
PF11223	SPP41, DUF3020	pfam	domain	IPR021386		
PF11224	Protein of unknown function (DUF3023)	pfam	family	IPR021387		
PF11225	Protein of unknown function (DUF3024)	pfam	family	IPR021388		
PF11226	Protein of unknown function (DUF3022)	pfam	family	IPR021389		
PF11227	Protein of unknown function (DUF3025)	pfam	family	IPR021390		
PF11228	Protein of unknown function (DUF3027)	pfam	family	IPR021391		
PF11229	Focadhesin	pfam	family	IPR021392		
PF11230	Protein of unknown function (DUF3029)	pfam	family	IPR016905		
PF11231	Protein of unknown function (DUF3034)	pfam	family	IPR021393		
PF11232	Mediator complex subunit 25 PTOV activation and synapsin 2	pfam	domain	IPR021394		
PF11233	Protein of unknown function (DUF3035)	pfam	family	IPR021395		
PF11235	Mediator complex subunit 25 synapsin 1	pfam	domain	IPR021397		
PF11236	Protein of unknown function (DUF3037)	pfam	family	IPR021398		
PF11237	Protein of unknown function (DUF3038)	pfam	family	IPR021399		
PF11238	Protein of unknown function (DUF3039)	pfam	family	IPR021400		
PF11239	Protein of unknown function (DUF3040)	pfam	family	IPR021401		
